wavelength,n
0.0625619,0.575119756573
0.0627061,0.572539199704
0.0628507,0.56943726679
0.0629956,0.566564708535
0.0631408,0.563563090362
0.0632863,0.560365467884
0.0634322,0.557567668145
0.0635784,0.554345806096
0.063725,0.551529848434
0.0638719,0.548354947785
0.0640191,0.545095925105
0.0641667,0.541654031344
0.0643146,0.538691059157
0.0644629,0.535224785685
0.0646115,0.531963915857
0.0647605,0.528385962797
0.0649097,0.524807748486
0.0650594,0.521665809841
0.0652094,0.518434267845
0.0653597,0.514887045224
0.0655103,0.511289686538
0.0656614,0.508030678532
0.0658127,0.504744546056
0.0659644,0.501541569109
0.0661165,0.498374450917
0.0662689,0.495011222602
0.0664217,0.491809885655
0.0665748,0.488912309621
0.0667283,0.48587821629
0.0668821,0.48302022779
0.0670363,0.480137353737
0.0671908,0.47729657851
0.0673457,0.474856853663
0.0675009,0.472093622898
0.0676566,0.469334373157
0.0678125,0.466911066068
0.0679688,0.464828645472
0.0681255,0.462526845944
0.0682826,0.460404511041
0.06844,0.457975558679
0.0685978,0.455832292472
0.0687559,0.453729704285
0.0689144,0.451646956777
0.0690732,0.449699138564
0.0692325,0.447415057287
0.0693921,0.44556093053
0.069552,0.443329362672
0.0697124,0.441103465465
0.0698731,0.438900842356
0.0700342,0.436696919472
0.0701956,0.434535120789
0.0703574,0.432296345388
0.0705196,0.43010885917
0.0706822,0.427796526639
0.0708451,0.425140241465
0.0710084,0.422917143059
0.0711721,0.420231102988
0.0713362,0.417595205572
0.0715006,0.415098972219
0.0716655,0.412454553191
0.0718307,0.409817579735
0.0719963,0.407139353825
0.0721622,0.404346779276
0.0723286,0.401330707125
0.0724953,0.398629598384
0.0726624,0.395754271432
0.0728299,0.392905852085
0.0729978,0.389848071984
0.0731661,0.386855963463
0.0733348,0.383798552031
0.0735038,0.380913822819
0.0736733,0.377563610053
0.0738431,0.374727710678
0.0740133,0.371582534963
0.0741839,0.3683264737
0.0743549,0.365286447708
0.0745264,0.362343767047
0.0746982,0.358990302373
0.0748704,0.355886571832
0.0750429,0.352853256617
0.0752159,0.349539512328
0.0753893,0.346433387094
0.0755631,0.343246818053
0.0757373,0.340395158094
0.0759119,0.337366695647
0.0760869,0.334168139939
0.0762623,0.331003965515
0.0764381,0.327980029317
0.0766143,0.325008467991
0.0767909,0.322228549992
0.0769679,0.319057658796
0.0771454,0.316173801975
0.0773232,0.313242760595
0.0775015,0.310403082921
0.0776801,0.307641895539
0.0778592,0.304842008495
0.0780387,0.302226266253
0.0782186,0.299429814235
0.0783989,0.296895018606
0.0785796,0.294344972833
0.0787608,0.291714045277
0.0789423,0.289305623524
0.0791243,0.286903650906
0.0793067,0.284498980667
0.0794895,0.282176089412
0.0796728,0.280056813587
0.0798564,0.277895387508
0.0800405,0.275847776482
0.080225,0.273763004252
0.08041,0.271781783973
0.0805953,0.269928463502
0.0807811,0.268061056149
0.0809673,0.26638785832
0.081154,0.264662721187
0.0813411,0.263082336821
0.0815286,0.261627359369
0.0817165,0.260242508126
0.0819049,0.258787077746
0.0820937,0.257564297925
0.082283,0.256284577999
0.0824726,0.255081523372
0.0826628,0.253967905581
0.0828533,0.252901678947
0.0830443,0.251893427017
0.0832357,0.250992189902
0.0834276,0.250162231888
0.0836199,0.249263667985
0.0838127,0.248434455192
0.0840059,0.247719112188
0.0841996,0.247052792064
0.0843937,0.246397406855
0.0845882,0.245720314561
0.0847832,0.245163701074
0.0849787,0.244667713812
0.0851746,0.244072478278
0.0853709,0.243649227038
0.0855677,0.243234435622
0.085765,0.242740612511
0.0859627,0.242293554429
0.0861608,0.241907938436
0.0863595,0.241504198448
0.0865585,0.241117850836
0.0867581,0.24069406446
0.0869581,0.240298137674
0.0871585,0.239837512116
0.0873594,0.239394018827
0.0875608,0.23891256707
0.0877627,0.238376202361
0.087965,0.237866024038
0.0881678,0.237249818518
0.088371,0.236641770145
0.0885747,0.236068711465
0.0887789,0.235371157265
0.0889836,0.234745053184
0.0891887,0.233998189479
0.0893943,0.23331593585
0.0896004,0.232623972989
0.0898069,0.231863316024
0.090014,0.231140835435
0.0902215,0.230448406933
0.0904294,0.229733928304
0.0906379,0.229022526097
0.0908469,0.228376142045
0.0910563,0.227738836397
0.0912662,0.227151402914
0.0914766,0.226552872587
0.0916874,0.226044397985
0.0918988,0.225563038958
0.0921107,0.225134539107
0.092323,0.224756467897
0.0925358,0.224430025991
0.0927491,0.224194499832
0.0929629,0.22398451216
0.0931772,0.223830711701
0.093392,0.223750386388
0.0936073,0.223725881016
0.0938231,0.223752272152
0.0940394,0.223825050509
0.0942562,0.223970471358
0.0944735,0.224164417734
0.0946913,0.224428426331
0.0949095,0.224716933797
0.0951283,0.225076633313
0.0953476,0.225457776299
0.0955674,0.225905680153
0.0957877,0.226377467589
0.0960085,0.226896072502
0.0962299,0.227435064864
0.0964517,0.22801407679
0.096674,0.228638253132
0.0968969,0.22928636081
0.0971203,0.229948770512
0.0973442,0.230659232314
0.0975686,0.231377773839
0.0977935,0.232124631825
0.0980189,0.232889738755
0.0982449,0.233670720465
0.0984713,0.234473233079
0.0986983,0.235294409088
0.0989259,0.236135677788
0.0991539,0.236973090797
0.0993825,0.237829761544
0.0996116,0.23872575971
0.0998412,0.239600632616
0.100071,0.240509383043
0.100302,0.241425276278
0.100533,0.242330976298
0.100765,0.243272241443
0.100997,0.244225687462
0.10123,0.245181924542
0.101464,0.246145243546
0.101697,0.247113614585
0.101932,0.248111238976
0.102167,0.249113509322
0.102402,0.250115893868
0.102638,0.251142376882
0.102875,0.252180706789
0.103112,0.253229006171
0.10335,0.254292474534
0.103588,0.255367533706
0.103827,0.25645526508
0.104066,0.257556180482
0.104306,0.258665732951
0.104547,0.25979844503
0.104788,0.260949968372
0.105029,0.262118861247
0.105271,0.263297961951
0.105514,0.26448597488
0.105757,0.265708359717
0.106001,0.266936779176
0.106245,0.268186831492
0.10649,0.269464545808
0.106736,0.27075836333
0.106982,0.272065724826
0.107228,0.273405678293
0.107476,0.274764845363
0.107723,0.276149976524
0.107972,0.277558386377
0.108221,0.278987644521
0.10847,0.280453526838
0.10872,0.281943324915
0.108971,0.283466512196
0.109222,0.285013776694
0.109474,0.286602008789
0.109726,0.28822636274
0.109979,0.289886228243
0.110233,0.291591317282
0.110487,0.29333250547
0.110741,0.29512004928
0.110997,0.29695327928
0.111253,0.298844349344
0.111509,0.300797520647
0.111766,0.302790280369
0.112024,0.304870215588
0.112282,0.307005377623
0.112541,0.309221701023
0.1128,0.3115124361
0.11306,0.313877493297
0.113321,0.316338155548
0.113582,0.318883565051
0.113844,0.321525610216
0.114106,0.324280658614
0.114369,0.327125400502
0.114633,0.330081587596
0.114897,0.333147839067
0.115162,0.336325320724
0.115428,0.339613696263
0.115694,0.343025372988
0.11596,0.346535619069
0.116228,0.350158711132
0.116496,0.353887045613
0.116764,0.35769735333
0.117033,0.361598987131
0.117303,0.36557350796
0.117574,0.369603632301
0.117845,0.37368387108
0.118116,0.377776110215
0.118389,0.381884480015
0.118662,0.385968430541
0.118935,0.390021824635
0.119209,0.394006478255
0.119484,0.397908483061
0.119759,0.401704058445
0.120036,0.405371705264
0.120312,0.408891597064
0.12059,0.412246514837
0.120868,0.415415976889
0.121146,0.418404851276
0.121425,0.421189229107
0.121705,0.423780721425
0.121986,0.426188014445
0.122267,0.428408591227
0.122549,0.430452060516
0.122832,0.432326316215
0.123115,0.434049260899
0.123398,0.435641305046
0.123683,0.437108515171
0.123968,0.438477085466
0.124254,0.439728905553
0.12454,0.440912422281
0.124827,0.442008584086
0.125115,0.443050805883
0.125404,0.444043477925
0.125693,0.445001046104
0.125982,0.445915943578
0.126273,0.446834396539
0.126564,0.447736443519
0.126856,0.448649762843
0.127148,0.449575230832
0.127441,0.450533037152
0.127735,0.451531971486
0.128029,0.452570273939
0.128325,0.453657965176
0.12862,0.454802194017
0.128917,0.456000126181
0.129214,0.457265604057
0.129512,0.458584412047
0.129811,0.45996119139
0.13011,0.46139924987
0.13041,0.462893538372
0.13071,0.46443820293
0.131012,0.466044079147
0.131314,0.467688606611
0.131616,0.46938077207
0.13192,0.471112071997
0.132224,0.472879780861
0.132529,0.474688912974
0.132834,0.476517979149
0.13314,0.478387430935
0.133447,0.480275871579
